Zip Code,Population
"ZCTA5 11791, New York",25076
"ZCTA5 11792, New York",8523
"ZCTA5 11793, New York",32298
"ZCTA5 11794, New York",3165
"ZCTA5 11795, New York",26030
"ZCTA5 11796, New York",4056
"ZCTA5 11797, New York",9041
"ZCTA5 11798, New York",15347
"ZCTA5 11801, New York",39553
"ZCTA5 11803, New York",28127
"ZCTA5 11804, New York",5010
"ZCTA5 11901, New York",27172
"ZCTA5 11930, New York",1343
"ZCTA5 11931, New York",151
"ZCTA5 11932, New York",1398
"ZCTA5 11933, New York",6844
"ZCTA5 11934, New York",7263
"ZCTA5 11935, New York",3304
"ZCTA5 11937, New York",15398
"ZCTA5 11939, New York",926
"ZCTA5 11940, New York",5210
"ZCTA5 11941, New York",1986
"ZCTA5 11942, New York",4603
"ZCTA5 11944, New York",4299
"ZCTA5 11946, New York",14068
"ZCTA5 11947, New York",416
"ZCTA5 11948, New York",1123
"ZCTA5 11949, New York",14573
"ZCTA5 11950, New York",16268
"ZCTA5 11951, New York",13680
"ZCTA5 11952, New York",4637
"ZCTA5 11953, New York",13553
"ZCTA5 11954, New York",3326
"ZCTA5 11955, New York",3285
"ZCTA5 11956, New York",349
"ZCTA5 11957, New York",743
"ZCTA5 11958, New York",635
"ZCTA5 11959, New York",939
"ZCTA5 11960, New York",1084
"ZCTA5 11961, New York",12834
"ZCTA5 11962, New York",494
"ZCTA5 11963, New York",6622
"ZCTA5 11964, New York",1858
"ZCTA5 11965, New York",534
"ZCTA5 11967, New York",26583
"ZCTA5 11968, New York",11593
"ZCTA5 11970, New York",522
"ZCTA5 11971, New York",5818
"ZCTA5 11972, New York",1321
"ZCTA5 11973, New York",9
"ZCTA5 11975, New York",408
"ZCTA5 11976, New York",1565
"ZCTA5 11977, New York",2467
"ZCTA5 11978, New York",3255
"ZCTA5 11980, New York",4990
"ZCTA5 12007, New York",60
"ZCTA5 12008, New York",497
"ZCTA5 12009, New York",7164
"ZCTA5 12010, New York",28937
"ZCTA5 12015, New York",3010
"ZCTA5 12017, New York",435
"ZCTA5 12018, New York",7930
"ZCTA5 12019, New York",14740
"ZCTA5 12020, New York",31192
"ZCTA5 12022, New York",929
"ZCTA5 12023, New York",2196
"ZCTA5 12024, New York",31
"ZCTA5 12025, New York",5505
"ZCTA5 12027, New York",3882
"ZCTA5 12028, New York",1172
"ZCTA5 12029, New York",1113
"ZCTA5 12031, New York",175
"ZCTA5 12032, New York",836
"ZCTA5 12033, New York",7851
"ZCTA5 12035, New York",802
"ZCTA5 12036, New York",228
"ZCTA5 12037, New York",4015
"ZCTA5 12040, New York",113
"ZCTA5 12041, New York",481
"ZCTA5 12042, New York",271
"ZCTA5 12043, New York",8509
"ZCTA5 12045, New York",584
"ZCTA5 12046, New York",817
"ZCTA5 12047, New York",19664
"ZCTA5 12051, New York",7070
"ZCTA5 12052, New York",1568
"ZCTA5 12053, New York",4587
"ZCTA5 12054, New York",16918
"ZCTA5 12056, New York",2310
"ZCTA5 12057, New York",1835
"ZCTA5 12058, New York",1445
"ZCTA5 12059, New York",1632
"ZCTA5 12060, New York",1507
"ZCTA5 12061, New York",9050
"ZCTA5 12062, New York",1776
"ZCTA5 12063, New York",444
"ZCTA5 12064, New York",563
"ZCTA5 12065, New York",41776
"ZCTA5 12066, New York",2143
"ZCTA5 12067, New York",1506
"ZCTA5 12068, New York",3201
"ZCTA5 12069, New York",256
"ZCTA5 12070, New York",1410
"ZCTA5 12071, New York",270
"ZCTA5 12072, New York",2890
"ZCTA5 12074, New York",2963
"ZCTA5 12075, New York",3418
"ZCTA5 12076, New York",1500
"ZCTA5 12077, New York",6246
"ZCTA5 12078, New York",23773
"ZCTA5 12083, New York",3795
"ZCTA5 12084, New York",4271
"ZCTA5 12085, New York",479
"ZCTA5 12086, New York",1865
"ZCTA5 12087, New York",1073
"ZCTA5 12089, New York",69
"ZCTA5 12090, New York",6262
"ZCTA5 12092, New York",1304
"ZCTA5 12093, New York",1666
"ZCTA5 12094, New York",2268
"ZCTA5 12095, New York",12606
"ZCTA5 12106, New York",2193
"ZCTA5 12108, New York",416
"ZCTA5 12110, New York",21908
"ZCTA5 12115, New York",189
"ZCTA5 12116, New York",1920
"ZCTA5 12117, New York",3256
"ZCTA5 12118, New York",13897
"ZCTA5 12120, New York",613
"ZCTA5 12121, New York",1916
"ZCTA5 12122, New York",4582
"ZCTA5 12123, New York",5124
"ZCTA5 12124, New York",606
"ZCTA5 12125, New York",1373
"ZCTA5 12130, New York",987
"ZCTA5 12131, New York",115
"ZCTA5 12132, New York",338
"ZCTA5 12134, New York",3516
"ZCTA5 12136, New York",804
"ZCTA5 12137, New York",1679
"ZCTA5 12138, New York",3168
"ZCTA5 12139, New York",295
"ZCTA5 12140, New York",1702
